video_id,publish_ts,title,thumbnail_def,thumbnail_mq,thumbnail_hq,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,thumbnail_location
a6fIbtFB46g,2019-03-11T19:28:48Z,Python Tutorial: Web Scraping with Requests-HTML,https://i.ytimg.com/vi/a6fIbtFB46g/default.jpg,https://i.ytimg.com/vi/a6fIbtFB46g/mqdefault.jpg,https://i.ytimg.com/vi/a6fIbtFB46g/hqdefault.jpg,Corey Schafer,122510,2541,29,0,187,./thumbnails/a6fIbtFB46g.jpg
yqm6MBt-yfY,2019-03-04T18:10:26Z,"Python Tutorial: Write a Script to Monitor a Website, Send Alert Emails, and Reboot Servers",https://i.ytimg.com/vi/yqm6MBt-yfY/default.jpg,https://i.ytimg.com/vi/yqm6MBt-yfY/mqdefault.jpg,https://i.ytimg.com/vi/yqm6MBt-yfY/hqdefault.jpg,Corey Schafer,118520,2429,19,0,103,./thumbnails/yqm6MBt-yfY.jpg
tb8gHvYlCFs,2019-02-26T15:14:01Z,"Python Requests Tutorial: Request Web Pages, Download Images, POST Data, Read JSON, and More",https://i.ytimg.com/vi/tb8gHvYlCFs/default.jpg,https://i.ytimg.com/vi/tb8gHvYlCFs/mqdefault.jpg,https://i.ytimg.com/vi/tb8gHvYlCFs/hqdefault.jpg,Corey Schafer,569890,12283,96,0,417,./thumbnails/tb8gHvYlCFs.jpg
6DI_7Zja8Zc,2019-02-18T20:01:30Z,Python Django Tutorial: Deploying Your Application (Option #2) - Deploy using Heroku,https://i.ytimg.com/vi/6DI_7Zja8Zc/default.jpg,https://i.ytimg.com/vi/6DI_7Zja8Zc/mqdefault.jpg,https://i.ytimg.com/vi/6DI_7Zja8Zc/hqdefault.jpg,Corey Schafer,211404,3892,43,0,619,./thumbnails/6DI_7Zja8Zc.jpg
kt3ZtW9MXhw,2019-02-18T19:43:33Z,Python Django Tutorial: Full-Featured Web App Part 13 - Using AWS S3 for File Uploads,https://i.ytimg.com/vi/kt3ZtW9MXhw/default.jpg,https://i.ytimg.com/vi/kt3ZtW9MXhw/mqdefault.jpg,https://i.ytimg.com/vi/kt3ZtW9MXhw/hqdefault.jpg,Corey Schafer,118627,2052,17,0,452,./thumbnails/kt3ZtW9MXhw.jpg
NhidVhNHfeU,2019-01-24T18:02:32Z,Python Django Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let's Encrypt,https://i.ytimg.com/vi/NhidVhNHfeU/default.jpg,https://i.ytimg.com/vi/NhidVhNHfeU/mqdefault.jpg,https://i.ytimg.com/vi/NhidVhNHfeU/hqdefault.jpg,Corey Schafer,100021,1834,12,0,173,./thumbnails/NhidVhNHfeU.jpg
Gdys9qPjuKs,2019-01-24T18:02:15Z,Python Flask Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let's Encrypt,https://i.ytimg.com/vi/Gdys9qPjuKs/default.jpg,https://i.ytimg.com/vi/Gdys9qPjuKs/mqdefault.jpg,https://i.ytimg.com/vi/Gdys9qPjuKs/hqdefault.jpg,Corey Schafer,82229,1548,12,0,144,./thumbnails/Gdys9qPjuKs.jpg
D2lwk1Ukgz0,2019-01-16T21:58:01Z,Python Django Tutorial: How to Use a Custom Domain Name for Our Application,https://i.ytimg.com/vi/D2lwk1Ukgz0/default.jpg,https://i.ytimg.com/vi/D2lwk1Ukgz0/mqdefault.jpg,https://i.ytimg.com/vi/D2lwk1Ukgz0/hqdefault.jpg,Corey Schafer,92541,1508,7,0,99,./thumbnails/D2lwk1Ukgz0.jpg
LUFn-QVcmB8,2019-01-16T21:58:22Z,Python Flask Tutorial: How to Use a Custom Domain Name for Our Application,https://i.ytimg.com/vi/LUFn-QVcmB8/default.jpg,https://i.ytimg.com/vi/LUFn-QVcmB8/mqdefault.jpg,https://i.ytimg.com/vi/LUFn-QVcmB8/hqdefault.jpg,Corey Schafer,69280,1298,9,0,74,./thumbnails/LUFn-QVcmB8.jpg
goToXTC96Co,2018-12-20T16:58:28Z,Python Flask Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,https://i.ytimg.com/vi/goToXTC96Co/default.jpg,https://i.ytimg.com/vi/goToXTC96Co/mqdefault.jpg,https://i.ytimg.com/vi/goToXTC96Co/hqdefault.jpg,Corey Schafer,229201,4233,29,0,578,./thumbnails/goToXTC96Co.jpg
